time,31S,32S,33S,34S,34X,35S,36S,CRP,DAP,DEF,DXD,DXT,MDM,MTU,MVP,NAP,NDE,NXA,ODG,TCG
2020-01-01,-1.375,-0.75,-0.47500000000000003,-0.6,-6.8999999999999995,-0.6,6.050000000000001,-3.0999999999999996,-1.725,-4.0249999999999995,2.1,-0.65,1.375,2.125,0.825,-81.425,8.075000000000001,-0.9,-0.325,4.725
2020-02-01,-0.375,-0.4,-0.5750000000000001,0.525,-1.05,0.4,4.15,-1.0750000000000002,1.65,10.075,0.825,-0.15,1.375,1.15,2.425,7.95,1.2000000000000002,-0.625,0.07499999999999998,2.625
2020-03-01,-4.725,-2.5500000000000003,-0.425,-0.475,1.525,0.575,-12.7,0.275,12.45,0.725,-6.1499999999999995,-1.25,-5.45,-4.625,-11.125,-31.275,-7.2,-0.625,-0.2,-5.55
2020-04-01,-9.25,-7.05,-5.425,-0.1,-0.6499999999999999,-5.375,-22.925,-3.225,-6.475,-6.825,-10.325,-4.7250000000000005,-10.15,-7.8,-27.974999999999998,-35.375,-4.125,-4.3,-3.325,-5.35
2020-05-01,1.175,1.9000000000000001,1.475,0.375,-1.45,1.05,15.05,2.025,0.525,5.175,3.975,1.325,3.975,3.45,14.725,-260.02500000000003,3.65,0.8250000000000001,1.7999999999999998,3.925
2020-06-01,2.95,3.9000000000000004,1.6,0.375,-1.425,1.325,18.65,-1.6500000000000001,-2.275,-1.4,6.6,2.325,6.0,0.6249999999999999,47.425,-56.375,-3.85,1.825,3.2,-3.325
2020-07-01,0.35000000000000003,1.4,0.9750000000000001,0.775,3.3,2.875,12.725000000000001,-0.35000000000000003,12.474999999999998,2.15,4.5,1.275,4.4,3.0749999999999997,10.475,-24.475,5.000000000000001,0.925,1.625,4.475
2020-08-01,2.9,-0.25,0.65,0.5249999999999999,0.025000000000000022,-0.17499999999999993,0.75,1.775,-3.675,1.45,0.55,0.675,0.65,1.4,-1.75,-1138.15,2.875,0.625,1.35,2.625
2020-09-01,3.05,2.1,0.875,0.425,0.17499999999999993,0.825,-1.3,0.875,-11.524999999999999,-6.8,0.8500000000000001,1.2000000000000002,0.22499999999999998,-0.07500000000000001,0.9,-1.45,0.775,0.8499999999999999,0.575,-0.7
2020-10-01,1.95,0.7,0.75,1.3,2.4000000000000004,1.05,2.025,1.875,10.15,8.075,0.95,1.15,1.325,2.1750000000000003,-0.75,31.1,2.575,0.775,1.55,3.4000000000000004
2020-11-01,3.125,0.5,0.25,-0.024999999999999994,-2.7,0.4,-0.1,2.9749999999999996,-0.17499999999999988,-0.4499999999999998,0.475,0.775,0.4,0.125,2.15,-11.100000000000001,-0.925,0.275,1.15,-0.825
2020-12-01,3.675,2.125,2.35,0.375,0.04999999999999999,2.55,-0.7250000000000001,0.725,-1.475,-2.45,1.05,1.85,0.85,1.0250000000000001,0.6000000000000001,1.7250000000000008,0.05000000000000002,0.975,1.075,-0.37499999999999994
2021-01-01,5.4,2.425,0.37499999999999994,-0.6250000000000001,-0.35000000000000003,2.5,3.1,2.675,10.975,4.4,1.825,1.6,2.0,2.45,1.775,26.500000000000004,2.5,1.35,1.625,2.8249999999999997
2021-02-01,2.65,1.375,1.35,0.125,0.325,1.1,-1.125,-0.12500000000000006,-3.0749999999999997,-2.175,0.39999999999999997,0.925,0.27499999999999997,1.0,-1.65,9.6,1.5,0.5,-0.025000000000000022,0.85
2021-03-01,-3.9000000000000004,3.5,2.0,0.325,1.275,0.32499999999999996,1.375,1.0499999999999998,-0.9500000000000002,3.5,1.1,1.125,1.15,1.0,2.3,0.675,0.85,1.425,2.575,1.275
2021-04-01,3.55,2.25,1.375,0.7,-2.7755575615628914e-17,2.075,-1.6999999999999997,2.35,-7.674999999999999,-5.6,1.025,1.725,0.525,1.3,-2.025,13.725,2.775,1.425,1.9,1.35
2021-05-01,5.375,-0.675,0.7749999999999999,0.07500000000000001,1.125,1.225,-0.025000000000000022,-1.3,0.9750000000000001,-1.425,0.8,0.975,0.575,0.27499999999999997,2.55,-7.425000000000001,-1.2,0.02499999999999994,1.8499999999999999,-1.25
2021-06-01,3.7,1.975,1.35,0.375,2.275,1.5,0.14999999999999997,-1.025,-3.0500000000000003,1.6499999999999997,1.125,1.475,1.0,1.3,1.4249999999999998,2.0999999999999996,1.225,1.4,1.225,1.2750000000000001
2021-07-01,4.825,0.7,1.675,0.05000000000000002,-0.3249999999999999,1.225,3.05,1.275,7.050000000000001,2.5500000000000003,1.675,1.3,1.7750000000000001,1.275,5.375,-3.325,-0.07500000000000007,0.85,1.125,0.275
2021-08-01,3.025,2.35,1.025,1.25,1.175,0.5,0.625,0.2,-5.975,-4.05,1.55,1.375,1.15,1.9000000000000001,0.09999999999999987,14.35,3.075,0.975,0.575,1.9749999999999999
2021-09-01,2.3,1.375,1.375,-0.15000000000000002,-0.875,1.5,-2.8000000000000003,-0.125,12.825000000000001,3.2500000000000004,-0.3750000000000001,1.15,-0.12500000000000003,-0.14999999999999994,-1.075,-9.200000000000001,-1.8250000000000002,0.975,1.1,-1.275
2021-10-01,2.275,1.0,1.15,0.1,3.3750000000000004,1.725,2.9499999999999997,-5.551115123125783e-17,-1.7249999999999999,-0.45,1.75,1.0,1.5,1.4,4.125,6.275,1.425,1.0,-0.050000000000000044,1.0999999999999999
2021-11-01,0.8749999999999999,0.6,1.175,1.5,4.0,1.75,1.925,0.07500000000000001,-3.875,-1.55,1.7000000000000002,1.225,1.425,1.3250000000000002,1.425,10.475,2.8,1.15,1.5250000000000001,2.175
2021-12-01,4.7,2.325,1.625,0.7749999999999999,0.325,1.7,0.225,0.625,10.75,-0.44999999999999996,1.175,1.775,1.25,1.05,1.8,-6.6000000000000005,-0.675,1.475,0.9249999999999999,-0.7
2022-01-01,-1.225,-0.22500000000000003,0.42500000000000004,0.95,-6.938893903907228e-17,0.09999999999999992,4.6000000000000005,-1.475,-14.649999999999999,1.9749999999999999,1.9,0.17500000000000002,1.575,2.025,0.6,30.875,5.575,0.5,0.7,5.05
2022-02-01,0.4,0.45,0.9500000000000001,0.2,-0.575,1.05,-0.8749999999999998,2.7,22.925,2.9,0.12500000000000006,0.675,0.225,2.7755575615628914e-17,0.5,-8.175,-0.9750000000000002,0.9249999999999999,0.85,-0.6000000000000001
2022-03-01,2.35,-0.2,1.025,0.25,0.9,2.075,0.35000000000000003,1.0,-5.3999999999999995,-0.75,0.7749999999999999,0.75,0.65,0.175,2.7,-6.7749999999999995,-0.375,0.95,-0.025000000000000022,-0.47500000000000003
2022-04-01,0.32499999999999996,0.125,0.4,0.675,1.375,0.35000000000000003,1.625,0.02500000000000001,-6.425,-3.8499999999999996,1.025,0.375,0.775,0.875,0.675,14.225,2.075,0.375,0.125,1.275
2022-05-01,1.2,0.07500000000000001,0.775,0.35,1.1,0.44999999999999996,-0.7,0.675,10.625,3.675,-0.02500000000000005,0.475,0.15,0.15000000000000002,-0.02500000000000001,-8.7,-0.9,0.55,0.05,-0.4
2022-06-01,0.04999999999999996,-0.075,0.525,0.4,-1.6249999999999998,0.825,0.575,2.4,29.374999999999996,-0.42499999999999993,-0.1,0.24999999999999997,0.375,0.275,0.3,-7.975,-0.85,0.625,0.275,-0.7999999999999999
2022-07-01,-2.175,0.45,0.475,0.775,0.5,-0.275,2.0500000000000003,3.05,-14.624999999999998,3.975,1.025,-0.04999999999999999,0.675,0.8500000000000001,0.27499999999999997,22.95,3.1500000000000004,0.47500000000000003,-0.075,3.2249999999999996
2022-08-01,-1.35,-0.3,0.7,0.15000000000000002,0.49999999999999994,1.4,0.65,-0.125,13.55,4.65,0.15000000000000002,0.15,0.375,0.45,0.125,0.025000000000000078,0.275,0.675,0.225,0.875
2022-09-01,0.7,-0.5,0.15000000000000005,-0.12499999999999997,-2.375,-0.24999999999999997,-0.7000000000000001,0.45,-13.0,-5.55,0.07500000000000001,-2.0816681711721685e-17,-0.24999999999999997,-0.875,0.525,-3.775,-0.75,-0.15000000000000005,-0.22499999999999998,-1.475
2022-10-01,-0.55,-0.075,0.8,-0.19999999999999998,1.2,0.525,2.55,1.925,8.975000000000001,1.3877787807814457e-17,0.9999999999999999,0.125,0.95,1.3499999999999999,0.09999999999999998,14.125,2.875,0.6,-0.04999999999999999,2.45
2022-11-01,-1.325,-0.275,0.3,0.125,-1.0,-0.05000000000000002,-1.125,-0.925,-0.2000000000000001,3.05,-0.7,-0.225,-0.5,-0.65,0.049999999999999996,-6.8,-1.55,-0.07499999999999998,-0.575,-1.025
2022-12-01,0.22499999999999998,-0.15000000000000002,-0.375,0.07500000000000001,1.15,1.15,1.9249999999999998,0.07500000000000002,8.225000000000001,4.975,0.6,0.125,0.775,0.8500000000000001,0.2,6.55,1.2999999999999998,0.19999999999999998,0.3,1.825
2023-01-01,0.6000000000000001,0.1,0.275,-1.3877787807814457e-17,0.5499999999999999,1.8,0.6,1.15,1.5,-0.9500000000000001,0.55,0.325,0.5,0.47500000000000003,0.675,0.6499999999999998,0.625,0.575,0.024999999999999994,0.375
2023-02-01,-0.24999999999999997,-0.225,0.17500000000000002,6.938893903907228e-18,-0.975,-0.25,-2.1,-2.4,-5.6,-2.4749999999999996,-0.725,-0.2,-0.7749999999999999,-0.8749999999999999,0.15000000000000002,-10.325000000000001,-2.025,-0.15,-0.55,-2.075
2023-03-01,0.15,0.19999999999999998,-0.175,0.35,-0.725,1.0,1.825,4.525,6.55,0.5249999999999999,0.7,0.1,0.7,1.075,-0.5,20.175,2.35,-0.09999999999999999,-0.47500000000000003,2.075
2023-04-01,-0.675,-0.175,0.30000000000000004,-0.325,-0.32499999999999996,-0.725,2.9250000000000003,0.525,9.4,12.174999999999999,0.35,-0.2,0.9500000000000001,1.225,0.04999999999999999,2.9,1.3750000000000002,0.35,-0.1,2.9
2023-05-01,0.6,-0.025,0.375,0.1,-1.65,0.275,0.95,-2.15,-8.275,-6.275,1.05,0.25,0.55,0.32499999999999996,0.7,8.6,1.775,0.05,-0.04999999999999993,0.35
2023-06-01,0.24999999999999997,0.475,-0.325,0.6,0.7249999999999999,0.5499999999999999,2.2,2.25,3.0500000000000003,-2.0749999999999997,1.175,0.15000000000000002,1.0250000000000001,1.4,-0.05,9.224999999999998,2.675,0.05,-0.44999999999999996,1.9500000000000002
2023-07-01,-0.35000000000000003,0.25,0.07499999999999998,-0.225,0.65,0.04999999999999999,-1.7,-3.35,-3.7249999999999996,-1.575,-0.4999999999999999,-0.05,-0.625,-1.05,0.625,-6.3500000000000005,-2.15,-0.375,-0.675,-2.1500000000000004
2023-08-01,-0.5,0.375,0.45000000000000007,0.17500000000000002,-0.75,0.25,0.2,2.475,3.475,2.6,0.125,0.175,0.2,0.225,0.05,-1.7000000000000002,0.04999999999999996,0.45,-0.15,0.32499999999999996
2023-09-01,0.225,0.275,-0.024999999999999994,0.47500000000000003,2.65,0.2,1.175,-0.35,-4.325,-3.3750000000000004,0.9249999999999999,0.125,0.65,0.9500000000000001,-0.425,9.174999999999999,2.525,0.125,-0.225,1.7000000000000002
2023-10-01,-0.35,0.3,-0.7000000000000001,0.0,-1.275,-0.725,-3.3,-8.326672684688674e-17,2.875,8.9,-1.6749999999999998,-0.175,-1.225,-0.9,-2.6750000000000003,-9.100000000000001,-2.6750000000000003,-0.42500000000000004,0.125,-1.4
2023-11-01,0.05000000000000001,0.025000000000000022,-0.3,0.175,0.45,0.1,7.2749999999999995,0.825,0.625,-2.075,3.0,0.025,2.625,3.0500000000000003,1.575,31.825,7.025,6.938893903907228e-18,0.425,5.575
2023-12-01,0.625,0.175,-0.025000000000000036,0.30000000000000004,3.4000000000000004,0.4,-2.9,-4.163336342344337e-17,-3.05,-5.75,-0.6499999999999999,0.125,-0.9500000000000001,-1.4,0.05000000000000002,-9.025,-2.4,0.275,0.024999999999999967,-2.875
2024-01-01,-0.775,-0.55,0.0,-0.025,-3.95,1.1500000000000001,-2.625,2.6,-0.29999999999999993,6.25,-1.3250000000000002,-0.225,-1.025,-1.4749999999999999,0.175,-16.224999999999998,-3.6999999999999997,0.025000000000000022,-0.5,-2.675
2024-02-01,0.2,0.25,0.075,-0.27499999999999997,-0.575,-1.1,1.825,2.825,3.8000000000000003,-1.2999999999999998,0.825,0.07500000000000001,0.675,0.475,0.75,9.3,1.475,-0.15000000000000002,0.425,1.05
2024-03-01,0.15,-0.2,-0.125,0.025,0.275,-0.825,0.875,-1.925,-4.449999999999999,-2.075,0.45,-0.07500000000000001,0.3,0.0,1.0,0.42500000000000016,0.175,-0.15,0.30000000000000004,-0.12499999999999997
2024-04-01,0.6,0.025,0.07500000000000001,0.04999999999999999,0.6,0.45,0.925,0.975,2.65,4.325,0.22500000000000003,0.1,0.375,0.375,0.675,-0.0249999999999998,-0.049999999999999975,0.075,-0.05,0.47500000000000003
2024-05-01,-0.024999999999999994,-0.07500000000000001,-0.375,0.1,-0.25000000000000006,-0.05,0.15,-0.37500000000000006,3.3,0.5,0.0,-0.1,0.025,1.3877787807814457e-17,-0.2,-0.55,-0.22499999999999998,-0.425,0.0,-0.09999999999999999
2024-06-01,-0.15,-0.025,0.25,-0.02500000000000001,1.05,-1.3877787807814457e-17,-4.700000000000001,-1.2750000000000001,-2.5,1.4749999999999999,-1.975,0.0,-1.8,-2.125,-0.4,-22.35,-4.800000000000001,0.15,-0.2,-3.925
2024-07-01,-0.25,0.19999999999999998,-0.2,-0.025,-0.6,-0.1,9.6,1.6,4.95,1.7249999999999999,2.8500000000000005,-0.05,2.825,4.575,-1.7,-158.37499999999997,11.825,-0.125,-0.05000000000000001,9.975
2024-08-01,0.125,0.275,0.25,0.175,-0.45,0.65,-0.525,0.15000000000000002,2.1500000000000004,1.25,-0.07500000000000001,0.25,0.0,-0.25,-0.125,-4.05,-0.6000000000000001,0.125,-0.1,-0.35000000000000003
